,,Tax_%_GDP,GINI_Index,Social_benefits_expense_%_GDP,Interest_expense_%_GDP,OilRrents_%_GDP,Agriculture_%_GDP,ControlofCorruption,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,Political_StabilityNoViolence,VoiceandAccountability
,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
País,Ano,,,,,,,,,,,,
Argentina,2003,20.699528909502583,50.9,5.88733913435928,5.765192620721089,4.17733203978432,10.328166939116995,-0.4783363342285156,-0.0474383421242237,-0.7089256644248962,-0.7735141515731812,-0.3589411675930023,0.3491252660751343
Argentina,2004,23.907220904924188,48.4,5.663876090462841,4.789872344245637,4.06691283010871,8.362486610028256,-0.4249913394451141,-0.057569071650505,-0.7137598395347595,-0.807372510433197,-0.6099556684494019,0.3620408773422241
Argentina,2005,16.014401116287374,47.7,0.0,0.0,4.84134728148559,7.938754274209383,-0.3881924152374267,-0.1242145225405693,-0.5483672022819519,-0.5546547770500183,-0.0417680591344833,0.2692316770553589
Argentina,2006,16.2352152457813,46.3,0.0,0.0,4.82776588677362,6.935572291263924,-0.3412536978721618,-0.0455042384564876,-0.6406317353248596,-0.5689440369606018,0.0030556984711438,0.4034365117549896
Argentina,2007,17.195652702255813,46.2,0.0,0.0,3.92323603532812,7.4523539460692305,-0.3402916491031647,-0.0159589331597089,-0.6682155728340149,-0.5916041135787964,0.0988585129380226,0.4486213326454162
Argentina,2008,17.883199012287385,44.9,0.0,0.0,4.14567586092666,7.318954597243597,-0.4355765283107757,-0.1468118578195572,-0.7375204563140869,-0.6766080856323242,-0.0852221846580505,0.3588959276676178
Argentina,2009,18.44992414433753,43.7,0.0,0.0,2.13102904542995,5.273623468901396,-0.4449960589408874,-0.3182648420333862,-0.8450356125831604,-0.6754778027534485,-0.2324055731296539,0.2800475060939789
Argentina,2010,18.88397086165397,43.6,0.0,0.0,2.33606865817559,7.1321674507896375,-0.3615601658821106,-0.1628622710704803,-0.7623685598373413,-0.5904954075813293,-0.0847978666424751,0.3616894483566284
Argentina,2011,18.79673544229346,42.6,0.0,0.0,2.68890246166013,6.9987337702251935,-0.3661300837993622,-0.1200883165001869,-0.7222099304199219,-0.5608632564544678,0.158993661403656,0.3449418246746063
Argentina,2012,19.569581656064887,41.3,0.0,0.0,2.42558447408521,5.781744206850099,-0.443185955286026,-0.2386665493249893,-0.9292171597480774,-0.6796465516090393,0.1030405461788177,0.2952099144458771
Argentina,2013,19.30363659220499,40.9,0.0,0.0,2.21678648845945,6.052918436704514,-0.4321392774581909,-0.2777676582336426,-0.9572610259056092,-0.7077284455299377,0.0653142631053924,0.2769878804683685
Argentina,2014,19.14290054047189,41.6,9.31709647738304,1.90609636724644,2.0568502789127,6.712703514285585,-0.5415841937065125,-0.159526452422142,-1.0742567777633667,-0.8861387968063354,-0.0051218713633716,0.3453205227851867
Argentina,2015,19.236391858817488,41.6,10.42359667189458,1.84417161785698,0.712016893853712,5.156685902140803,-0.5470772981643677,-0.0752744078636169,-0.9114419221878052,-0.770878255367279,0.014785380102694,0.4117875397205353
Argentina,2016,19.00314512010162,42.0,10.68511244413096,3.62564432771603,0.537246824743345,6.264565820102543,-0.2839309275150299,0.1618781387805938,-0.469625324010849,-0.393746942281723,0.2046255022287368,0.4933508932590484
Argentina,2017,17.73423341191569,41.1,11.39558127528782,3.04185506680709,0.723847251357923,5.231622377250584,-0.2581808269023895,0.1445933431386947,-0.2898895740509033,-0.2492861449718475,0.1695042550563812,0.5286480784416199
Argentina,2018,16.304992803565337,41.3,10.65250015795702,3.78707228481292,1.41509678217918,4.537878896811463,-0.0687872767448425,0.0272681787610054,-0.2906713485717773,-0.2436714023351669,0.010891375131905,0.5323461294174194
Argentina,2019,16.305180184111922,42.9,10.446193274289389,4.3681403704243,1.53257384605461,5.111016511157057,-0.0762876197695732,-0.0869983658194542,-0.4932295382022857,-0.4306341707706451,-0.0914442017674446,0.5740060806274414
Armenia,2003,3.170235125052417,33.0,3.168018617262732,0.0001820154056027,0.0,17.912681952639666,-0.5700286030769348,-0.1563006937503814,0.209789365530014,-0.302556425333023,0.2371981292963028,-0.4674061834812164
Armenia,2004,17.116642925290538,37.5,4.148975083632243,0.5154774196031378,0.0,17.912681952639666,-0.6104831099510193,-0.0922412499785423,0.1291029006242752,-0.4226076602935791,-0.1168628931045532,-0.5721655488014221
Armenia,2005,17.605916408013478,36.0,5.10079525399677,0.4429038759927021,0.0,17.912681952639666,-0.6741412878036499,-0.1399130374193191,0.0834766700863838,-0.4002491533756256,-0.0675349906086921,-0.5913633108139038
Armenia,2006,17.830832146974785,29.7,5.098527730960759,0.339759097787364,0.0,17.912681952639666,-0.6708225011825562,-0.2545791864395141,0.2846057713031769,-0.5464353561401367,-0.2627404928207397,-0.742222785949707
Armenia,2007,19.20992293880256,31.2,4.632082198318512,0.316159784159152,0.0,17.912681952639666,-0.7423843741416931,-0.3758437931537628,0.2718039751052856,-0.4983764886856079,0.1504460424184799,-0.7593778967857361
Armenia,2008,0.388051596358057,29.2,0.0764310721772308,0.0,0.0,17.912681952639666,-0.7080975770950317,-0.1726939231157302,0.3378677368164062,-0.3405265510082245,-0.0093652652576565,-0.857629656791687
Armenia,2009,0.558978055823158,28.0,0.044039409493607,5.86315911437146e-06,0.0,17.912681952639666,-0.6197577118873596,-0.029734781011939,0.2962559163570404,-0.4758519530296325,0.2277747541666031,-0.87647545337677
Armenia,2010,0.546600360530902,30.0,0.0483210379264775,0.0,0.0,17.912681952639666,-0.6964903473854065,-0.183913454413414,0.3094822764396667,-0.4886260032653808,0.071855328977108,-0.8475550413131714
Armenia,2011,0.517495586604,29.4,0.0447589283974867,0.0001477666856822,0.0,17.912681952639666,-0.6568626761436462,-0.1289905756711959,0.2732067108154297,-0.440941572189331,-0.0638689845800399,-0.6907798051834106
Armenia,2012,0.469581679239735,29.6,0.0501306409141723,4.4076348532935e-05,0.0,17.912681952639666,-0.587804913520813,-0.0423688255250453,0.3493369519710541,-0.4178914427757263,0.1547949761152267,-0.5704914331436157
Armenia,2013,22.436878434378265,30.6,6.577143919576405,1.026158374429294,0.0,18.434762883496763,-0.5317937135696411,0.068865843117237,0.2526070475578308,-0.3442721366882324,0.1103851422667503,-0.5880307555198669
Armenia,2014,22.43307465624124,31.5,7.303273282243856,1.27663868396691,0.0,18.072036347066245,-0.5239607691764832,-0.1984497010707855,0.2134244889020919,-0.3660012781620025,-0.2971358001232147,-0.5620829463005066
Armenia,2015,21.575376828701543,32.4,7.8489620362321375,1.46886389557433,0.0,17.223120031805646,-0.5338398218154907,-0.1610711067914962,0.2418068796396255,-0.3879299461841583,-0.2523326277732849,-0.5362935662269592
Armenia,2016,21.76192645849705,32.5,8.089814427317062,1.93942530248149,0.0,16.390473533849974,-0.5718280076980591,-0.1583772450685501,0.250055581331253,-0.1192339807748794,-0.662263810634613,-0.5792813897132874
Armenia,2017,21.26145747207391,33.6,7.496072362480876,2.19445499754668,0.0,14.994260124277622,-0.5633132457733154,-0.1026952192187309,0.2805221974849701,-0.1606278866529464,-0.6207711696624756,-0.5608286261558533
Armenia,2018,21.30695601679875,34.4,7.131239814139695,2.31035542288335,0.0,13.942311655414612,-0.347599595785141,-0.028414225205779,0.3279592096805572,-0.1494592428207397,-0.4449081420898437,-0.1379437893629074
Armenia,2019,22.670321022128576,29.9,6.671984756725455,2.398427556938836,0.0,11.525610737958814,-0.1782837510108947,-0.0666463002562522,0.2490070015192031,-0.1309799551963806,-0.4134243726730346,0.0554765909910202
Armenia,2020,22.351996042414232,29.9,8.701885929874082,2.665560884144895,0.0,11.21342390635557,0.031596977263689,-0.1242361143231391,0.2500478625297546,-0.0832231342792511,-0.571294367313385,0.0446616150438785
Australia,2001,29.53148315576278,33.5,10.706993539309613,1.3016188824736936,0.928857191733014,3.502197809976146,1.9232460260391235,1.8101874589920044,1.637248992919922,1.751407265663147,1.3345524072647097,1.4713051319122314
Australia,2002,27.965851920765427,33.5,10.482645322835682,1.064884938605731,0.879958293147193,3.9491568717500094,1.809628129005432,1.7189428806304932,1.467518925666809,1.7999897003173828,1.1929105520248413,1.4072332382202148
Australia,2003,28.84461583440249,33.5,10.20571627391144,0.9205767014359556,0.708159048145651,2.888935963414786,1.9498538970947263,1.837643384933472,1.607837438583374,1.8820490837097168,0.8788020610809326,1.4421278238296509
Australia,2004,28.9116668648119,33.1,10.655539130688382,0.7753459503231264,0.667582844168191,3.0636035649963227,2.028761148452759,2.00677752494812,1.7216068506240845,1.8155715465545648,0.9365029335021972,1.5015419721603394
Australia,2005,29.023470221278767,33.1,10.38267230659569,0.7252823866681238,0.934197020773284,2.887985905088639,1.9523582458496087,1.7512129545211792,1.600643277168274,1.724451184272766,0.893511176109314,1.5070557594299316
Australia,2006,28.75889027739205,33.1,10.0183398130149,0.6713991483847088,0.989480462813008,2.733575311787636,1.9605684280395508,1.711956024169922,1.6239025592803955,1.7700397968292236,0.935187816619873,1.382794737815857
Australia,2007,28.34627000879349,33.1,9.795484342405816,0.6154578379975547,0.929552380629163,2.2080882021691983,2.010918378829956,1.8255587816238403,1.6830953359603882,1.761236548423767,0.9287897944450378,1.3691999912261963
Australia,2008,28.26779048219437,35.4,9.58676118947047,0.5902948557241583,1.06806190954798,2.343758617383506,2.0424818992614746,1.793969750404358,1.7659193277359009,1.7708507776260376,0.9556448459625244,1.3680760860443115
Australia,2009,26.88787792611277,35.4,11.63093926328226,0.6673093664917851,0.637010900527696,2.302160784724404,2.051661491394043,1.7057873010635376,1.819983959197998,1.7403981685638428,0.8556889891624451,1.3837918043136597
Australia,2010,24.49820081662873,34.7,10.119497506704242,0.8355056480181797,0.77521671491599,2.206226618710558,2.0320448875427246,1.7684675455093384,1.6984150409698486,1.764986515045166,0.8888598680496216,1.4197657108306885
Australia,2011,24.48770701410071,34.7,10.062286644035993,1.048112238705005,0.833347947056669,2.292478020280725,2.044710397720337,1.69581401348114,1.858608603477478,1.7425144910812378,0.935710072517395,1.453721046447754
Australia,2012,25.729351406758333,34.7,10.44301980292773,1.297952119988462,0.715930089899825,2.26809636459164,1.985248565673828,1.6212904453277588,1.7864677906036377,1.766857624053955,0.997997224330902,1.499190330505371
Australia,2013,26.47187505580602,34.7,10.380488439549673,1.3256314687116535,0.534822878882056,2.2857176329392224,1.7852256298065186,1.6400554180145264,1.8008675575256348,1.77853524684906,1.031072974205017,1.4364137649536133
Australia,2014,26.853950330910425,34.4,10.70719145733777,1.370220225025318,0.534261539241867,2.2209460681003383,1.8537222146987915,1.607066988945007,1.8637083768844604,1.9230461120605469,1.0321919918060305,1.3617160320281982
Australia,2015,27.106763144870925,34.4,10.9610682165591,1.4590581185287403,0.20609123021818,2.376098673798228,1.882711291313172,1.5641909837722778,1.7886841297149658,1.825072646141052,0.8849798440933228,1.3555912971496582
Australia,2016,27.287488683941703,34.4,10.91029574786437,1.4500416219458394,0.171619814628664,2.404231292648322,1.8161075115203853,1.5680426359176636,1.8969656229019165,1.755666971206665,1.0479580163955688,1.3537020683288574
Australia,2017,26.99731639325028,34.4,10.499722118277948,1.3562510102273766,0.210123173418994,2.702473805130863,1.7983509302139282,1.538218975067139,1.9334113597869875,1.686461329460144,0.8960608243942261,1.375636100769043
Australia,2018,27.885424688424628,34.4,10.28429066297642,1.3451024091724264,0.314528235503313,2.4578039725526413,1.8052144050598145,1.5952321290969849,1.9027055501937864,1.715382099151611,0.9896039962768556,1.3805928230285645
Australia,2019,28.038784820906056,34.4,10.2621753542873,1.286413868342105,0.368744009615464,2.116864005656069,1.82541298866272,1.571555256843567,1.8736894130706787,1.7344725131988523,0.9117457270622252,1.2674413919448853
Australia,2020,28.0925807318345,34.4,11.949718437267176,1.3040212145976824,0.368744009615464,2.0060922848895384,1.665164589881897,1.6191633939743042,1.816903710365296,1.6511883735656738,0.8487522006034851,1.3041205406188965
Austria,2001,45.19032762725307,29.5,21.590227865321395,3.7280580433057424,0.040528677236383,1.670703395731678,1.8092113733291624,1.92928159236908,1.534618258476257,1.842371821403504,0.8238266706466675,1.3175594806671145
Austria,2002,43.980535893616846,29.5,21.91809568249848,3.6023063016654264,0.0395597364351998,1.5627744114919595,1.9664342403411863,1.942697525024414,1.5858395099639893,1.8916559219360352,1.3622055053710938,1.3074969053268433
Austria,2003,43.67216345894662,29.5,22.23039085664997,3.351503585098924,0.0368600439720057,1.4919318979018854,2.019735813140869,1.9958460330963133,1.5697169303894043,1.887247085571289,0.9633992910385132,1.3438820838928225
Austria,2004,43.19685758059781,29.8,21.97296205502574,3.18079804974906,0.0440501545196534,1.476474392677711,2.0496251583099365,1.8653030395507808,1.524202585220337,1.836986064910889,1.0905817747116089,1.4756511449813845
Austria,2005,42.04919413558991,28.7,21.55349798287909,3.385319295483621,0.0567212599745549,1.259399634824406,1.9220600128173828,1.6845946311950684,1.6060794591903689,1.8591910600662231,1.1053862571716309,1.3786565065383911
Austria,2006,41.35942804315072,29.6,21.26619904683817,3.256327653492368,0.0639440026749149,1.303189458617389,1.9145312309265137,1.8310364484786987,1.644534707069397,1.913556694984436,1.0759333372116089,1.3726849555969238
Austria,2007,41.41581390107688,30.6,20.758090415454696,3.2348773496538508,0.0601621689023904,1.4163915602326476,2.013397455215454,1.870186686515808,1.690030574798584,1.96012818813324,1.2837518453598022,1.369262456893921
Austria,2008,42.23258700328394,30.4,21.049693646453143,3.059763706593675,0.0735167701833173,1.342223026804258,1.8430349826812744,1.7808396816253662,1.6063437461853027,1.92299485206604,1.3392058610916138,1.3584643602371216
Austria,2009,41.86606495324843,31.5,22.709460113920088,3.2781994146035243,0.0423628193463226,1.146817767645376,1.7030246257781982,1.6665796041488647,1.452586650848389,1.7848901748657229,1.19060218334198,1.392845630645752
Austria,2010,41.80862166040436,30.3,22.85402062747589,3.062329881451836,0.0637973726309283,1.2673276722574476,1.603519320487976,1.817601084709168,1.4528154134750366,1.808519005775452,1.1526482105255127,1.4302910566329956
Austria,2011,41.873932297762856,30.8,22.16093259376915,2.980757014993136,0.0931930622781171,1.4019149342727628,1.4772658348083496,1.6085448265075684,1.3826340436935425,1.808491587638855,1.1935216188430786,1.4024436473846436
Austria,2012,42.483572260869245,30.5,22.36107855219362,2.931796364133916,0.0909527801964669,1.348551389938097,1.434778332710266,1.568166971206665,1.5241892337799072,1.8643569946289065,1.340566873550415,1.4487730264663696
Austria,2013,43.330784272924994,30.8,22.85487767906044,2.793280359803425,0.0747839736832254,1.2547212159419494,1.544529676437378,1.578917384147644,1.4906792640686035,1.842640280723572,1.3641005754470823,1.456567406654358
Austria,2014,43.341771072811625,30.5,22.98903694205031,2.6152940106457763,0.0695772125949506,1.2007405640414728,1.4712903499603271,1.559177279472351,1.4877302646636963,1.9428805112838743,1.270700454711914,1.391321301460266
Austria,2015,43.68144356757922,30.5,22.80363076231307,2.499331192180072,0.0326247585841933,1.129790193564496,1.5119662284851074,1.4816962480545044,1.4032657146453855,1.849107027053833,1.1430792808532717,1.3835331201553345
Austria,2016,42.24304545759606,30.8,22.602246034764374,2.244194760743605,0.0231090819829673,1.1103164792617166,1.5398688316345217,1.5105208158493042,1.4404362440109253,1.8002638816833496,0.90963876247406,1.3374812602996826
Austria,2017,42.32301667861134,29.7,22.17424642194089,2.0133031426488226,0.0316929794044449,1.21053643138638,1.54520845413208,1.507204532623291,1.4401793479919434,1.8423503637313845,1.04683256149292,1.3859127759933472
Austria,2018,42.67297052459006,30.8,21.86271398392002,1.7659971055778998,0.0436724545773559,1.1301555079802383,1.6057229042053225,1.4944162368774414,1.5313539505004885,1.8961552381515503,0.9023340344429016,1.387744665145874
Austria,2019,42.96140807504688,30.8,21.886947733687748,1.576910945697342,0.0383608276359863,1.0715827241667772,1.5577377080917358,1.5277369022369385,1.4592370986938477,1.904161810874939,0.9167479276657104,1.3387953042984009
Austria,2020,42.4250608078619,30.8,24.63570430781947,1.532197162598825,0.0383608276359863,1.099908742094022,1.5096741914749146,1.655057430267334,1.4013553857803345,1.8104406595230105,0.8519110083580017,1.3989787101745603
Azerbaijan,2008,18.961213039275297,42.6,4.525726757222727,0.0814705559929442,37.089190511476,5.595806384102529,-1.148547887802124,-0.7735334634780884,-0.3549210131168365,-0.8324519395828247,-0.3334748148918152,-1.325132131576538
Azerbaijan,2009,17.025125345842184,40.82,5.785711276210276,0.221058101484488,24.6104966517234,6.121933064618064,-1.1884537935256958,-0.6581194400787354,-0.3080575168132782,-0.87999427318573,-0.2759401500225067,-1.2597562074661257
Azerbaijan,2010,14.903803131991042,44.32000000000001,5.204285882491457,0.0930177793476981,29.3747478884258,5.5212527964205815,-1.2441436052322388,-0.8069345355033875,-0.3723760843276977,-0.893039345741272,-0.2385469228029251,-1.3045884370803833
Azerbaijan,2011,14.688760032256804,45.88,4.954302830152449,0.325640336392612,31.8213223324878,5.075649936638378,-1.178845763206482,-0.7651435732841492,-0.3719663023948669,-0.893662691116333,-0.5321359634399414,-1.3018475770950315
Azerbaijan,2012,15.49182828343714,44.31999999999999,5.549314350327074,0.164767818032029,27.8215476443262,5.139769507724176,-1.126805305480957,-0.7827144265174866,-0.4555907547473907,-0.834468424320221,-0.7157518267631531,-1.2994816303253174
Azerbaijan,2013,16.23199615001206,40.82,5.34323330239593,0.2710460279811627,23.7127986706928,5.3662644804234985,-0.966577172279358,-0.4752990901470184,-0.4083122909069061,-0.7239092588424683,-0.4128599166870117,-1.4027694463729858
Azerbaijan,2014,17.30315297530587,32.120000000000005,5.8919817467351,0.142677766838772,20.4831490210851,5.319406718055516,-1.0187582969665527,-0.3642464280128479,-0.2771415710449219,-0.6723401546478271,-0.5599095225334167,-1.4791778326034546
Azerbaijan,2015,19.06803972048548,27.580000000000002,6.536594336153006,0.38874586244943,12.0679391061669,6.1774549466715705,-0.93009752035141,-0.2576263844966888,-0.2547192871570587,-0.6737632155418396,-0.7295655608177185,-1.5523873567581177
Azerbaijan,2016,17.862626851048883,27.579999999999995,6.774618867624765,1.0166288237357946,13.195138208753,5.604946280690838,-0.8383623957633972,-0.1658140271902084,-0.2820228040218353,-0.5200192928314209,-0.8038790822029114,-1.5610357522964478
Azerbaijan,2017,16.24389730699569,28.48,6.253735544756877,0.7040481789308166,17.8561345541358,5.60736901068842,-0.8853079080581665,-0.172641173005104,-0.2449824213981628,-0.5575178861618042,-0.7479199171066284,-1.5636836290359497
Azerbaijan,2018,15.990200019976982,40.82,5.885107126804173,0.960645257953354,25.3076243145533,5.212505618538681,-0.8364835977554321,-0.1580520421266555,-0.1973938643932342,-0.5875339508056641,-0.7067598104476929,-1.51133394241333
Azerbaijan,2019,18.039690993009405,35.2,6.157245871132823,0.7771697212326,21.8627826553423,5.695258143845502,-0.8379928469657898,-0.1401702612638473,-0.226989060640335,-0.5771515369415283,-0.6859124302864075,-1.529507756233215
Bahamas,2001,9.85954075172725,38.76,0.858396792675681,1.21065205913783,0.0,1.1986299311238628,1.3483319282531738,1.2950013875961304,1.1939735412597656,1.316824197769165,1.2800980806350708,1.2022254467010498
Bahamas,2002,8.99908519331234,32.82000000000001,0.981852683173723,1.10683622426579,0.0,1.5133158281125438,1.456810474395752,1.309837818145752,1.342486023902893,1.4307010173797607,0.9565002918243408,1.1889368295669556
Bahamas,2003,9.28851877400672,34.800000000000004,0.880487093397166,1.20630113948139,0.0,1.3472242108028216,1.4531121253967283,1.2829347848892212,1.186556696891785,1.4536646604537964,0.8269992470741272,1.0322717428207395
Bahamas,2004,9.42834176584466,36.78000000000001,1.03390477350702,1.25828208664712,0.0,1.1617518599625192,1.4308221340179443,1.2218947410583496,1.1339294910430908,1.3995620012283323,0.891071081161499,0.98453950881958
Bahamas,2005,10.0017130018171,38.76,1.19433377751555,1.23266160629253,0.0,1.0644354527154796,1.337382197380066,1.2109413146972656,1.1068809032440186,1.3778091669082642,0.938636839389801,0.9425191283226012
Bahrain,2001,2.21424611865949,31.4,0.749659797036351,0.0,3.13244016240182,0.0,0.3809991478919983,0.5889424085617065,0.7893434166908264,0.2984581291675567,0.055773951113224,-1.0568798780441284
Bahrain,2002,1.46374671266982,46.379999999999995,0.823357525876774,0.0,2.96984196819738,0.0,0.8205785751342773,0.5528278946876526,0.907505750656128,0.5676902532577515,0.2841461300849914,-0.5711636543273926
Bahrain,2003,1.32079582788516,50.160000000000004,0.0,0.0,3.06954469214889,0.0,0.399893194437027,0.4817965030670166,0.6542107462882996,0.6202008128166199,0.4832390248775482,-0.5907055735588074
Bahrain,2004,1.06583357840736,50.160000000000004,0.0,0.0,3.36090060262139,0.0,0.4514511227607727,0.546101987361908,0.7115224599838257,0.7094292640686035,0.3126652836799621,-0.5615494251251221
Barbados,2003,37.1434013693559,29.660000000000004,9.94547443819922,4.29827461888655,0.212054228392855,1.9785013241938,1.5446691513061523,1.4106481075286863,1.1547898054122925,1.5551178455352783,0.9188888072967528,1.155707597732544
Barbados,2004,38.10085044915326,28.22,8.64752556734593,3.96309234649808,0.264647831593771,1.6431993032370444,1.4287561178207395,1.2054747343063354,1.0888034105300903,1.4418174028396606,1.0953726768493652,1.1049693822860718
