País,Ano,Tax_%_GDP,GINI_Index,Interest_expense_%_GDP,OilRrents_%_GDP,Agriculture_%_GDP,ControlofCorruption,Political_StabilityNoViolence,VoiceandAccountability
Afghanistan,2006,0.1432120941125395,0.3956204379562045,0.0036387126822802975,0.0003801620873909174,0.4336632596643274,0.08339912064956118,0.12711216399204195,0.2583509647928577
Afghanistan,2007,0.12231568814268048,0.3956204379562045,0.001854930032991467,0.00025229076713650754,0.4559104511856175,0.047128140776252436,0.08561423195748541,0.27176100699599703
Afghanistan,2008,0.12367897111725196,0.27834549878345516,0.0014801183419696883,0.0002770522078261343,0.37696866859569733,0.035161195116118316,0.024249488454642587,0.2434206438552477
Afghanistan,2009,0.1758049555870617,0.3956204379562045,0.0013291987158372115,9.369732839840967e-05,0.44368151089195274,0.05946620920988088,0.019379800895421018,0.19079071439829465
Afghanistan,2010,0.19159488438099373,0.3513381995133821,0.0009044344603170796,8.5221215284346e-05,0.396925416524694,0.035656650737914464,0.0486566267845413,0.18341019100891215
Afghanistan,2011,0.1885781997097047,0.3970802919708031,0.0009109412982678926,0.00011358399003475372,0.35957417298218286,0.04904394730840528,0.065558407906664,0.2008583056245848
Afghanistan,2012,0.1594141376720898,0.2924574209245743,0.001202735178022,0.0018843159859232564,0.3693755191717053,0.08648706034087866,0.08386466333192233,0.21832060234147388
Afghanistan,2013,0.15015567599897853,0.31532846715328466,0.0019151460063707526,6.896432987222998e-05,0.34544479709477066,0.08254883626861698,0.06176785883373648,0.22529099879953207
Afghanistan,2014,0.1420502978336197,0.27931873479318725,0.0022093616482640613,5.435481670742956e-05,0.33524347159306217,0.10173193054001667,0.08550744193920012,0.2519437526325714
Afghanistan,2015,0.15615972261089806,0.36155717761557193,0.004096705830675832,1.8478878389872816e-05,0.3124862923314704,0.10469410955703295,0.05039521846255668,0.2564991832385176
Afghanistan,2016,0.18159446952628353,0.3513381995133821,0.0037601523921711585,1.4973976657122132e-05,0.38981145187763044,0.06149167837810615,0.02850791684899512,0.27680922765855925
Afghanistan,2017,0.1887610301805013,0.3284671532846717,0.003819435421461188,2.2247514974564716e-05,0.40010763462428905,0.06396842455191043,0.0,0.2887782377934472
Albania,2002,0.4086149633281846,0.19464720194647211,0.30137868769441767,0.011409797720402508,0.3335484442119842,0.21592346270314117,0.5495293594535551,0.5391217041514228
